% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, further/more values", seed=649140, Tue Nov 18 17:35:01 2025, <python>{}</python>
1 12 0.4738871865049057 1.0000466677555726 84889.35006460149 8.4889350064601487e+04 inf inf nan inf nan   
2 24 0.4322565527638779 1.1530897200262296 59732.69909509899 5.9732699095098993e+04 inf inf nan inf nan   
3 36 0.42947853477138054 1.1739183116938998 47022.88388999655 4.7022883889996549e+04 inf inf nan inf nan   
4 48 0.40053253375341763 1.2312630486306952 40806.93318570201 4.0806933185702008e+04 inf inf nan inf nan   
5 60 0.40196549984242863 1.2567329271524879 33472.522900252334 3.3472522900252334e+04 inf inf nan inf nan   
6 72 0.3914090276787667 1.3051831414635782 26153.442917791486 2.6153442917791486e+04 inf inf inf 81910.8528293935 nan   
7 84 0.40686297536758115 1.3663612723600018 26153.442917791486 2.9023289439780245e+04 inf inf inf 57337.00127684421 nan   
8 96 0.4248416993135743 1.5058552602465478 19077.735791879222 1.9077735791879222e+04 inf inf inf 43449.58244954607 nan   
9 108 0.4526449421743284 1.587857175934076 11660.871060127722 1.1660871060127722e+04 inf inf inf 41062.39682391427 nan   
10 120 0.4815480700545489 1.7920242878007464 10514.78390281009 1.0514783902810090e+04 inf inf inf 35963.177716542246 nan   
11 132 0.48510559120993146 1.8810850856836243 10514.78390281009 1.4591977261534768e+04 inf inf nan inf nan   
12 144 0.45936448342664676 1.9568556486191722 10514.78390281009 2.5649707562110976e+04 inf inf nan inf nan   
13 156 0.45830377478868134 1.9972952984452064 10043.373524063345 1.0043373524063345e+04 26639.230496150183 inf inf 17095.862972844225 nan   
14 168 0.4592285852897542 2.1368025889263205 10043.373524063345 1.1691490469037730e+04 inf inf nan inf nan   
15 180 0.44376638555788156 2.2038366750644425 10043.373524063345 1.0668701445067787e+04 inf inf inf 21285.406192070302 nan   
16 192 0.45355407543404985 2.2567118729584648 9986.130849734574 9.9861308497345744e+03 inf inf inf 14453.090753845709 nan   
17 204 0.47226267681883405 2.3509650558539907 9938.383624395941 9.9383836243959413e+03 inf inf nan inf nan   
18 216 0.479573702050843 2.3450455400499868 9630.150991319295 9.6301509913192949e+03 inf inf inf 13656.688560234134 nan   
19 228 0.4785138763176653 2.335895817601356 9630.150991319295 1.0286339852715228e+04 inf inf inf 15862.084314038653 nan   
20 240 0.4730364367886838 2.358742544529252 9513.816727622308 9.5138167276223085e+03 inf inf inf 11355.83424877205 nan   
21 252 0.4698431133347797 2.3733657635065515 9513.816727622308 1.0030854506313855e+04 inf inf inf 10896.929745502619 nan   
22 264 0.4896506440649736 2.3761810230319584 9127.334960493947 9.1273349604939467e+03 13594.189175279449 inf inf 9684.682702470283 nan   
23 276 0.521370558090923 2.382701069677626 9059.286009656971 9.0592860096569711e+03 inf inf inf 9792.696089190373 nan   
24 288 0.524494819429273 2.4088211859849973 9059.286009656971 9.1545530254334535e+03 inf inf nan inf nan   
25 300 0.5207559507110675 2.489728143325538 9059.286009656971 9.2962160210228412e+03 inf inf inf 11773.11799925996 nan   
26 312 0.5449701566968099 2.5732832318341017 9059.286009656971 9.9221100378364299e+03 inf inf nan inf nan   
27 324 0.5828361225972062 2.59329371127983 9059.286009656971 9.2831662678451921e+03 inf inf nan inf nan   
28 336 0.5842088398950565 2.5955738676184392 9048.483833997852 9.0484838339978523e+03 inf inf nan inf nan   
29 348 0.6114127379190818 2.5954170756151536 9048.483833997852 9.9207458015329394e+03 inf inf nan inf nan   
30 360 0.6210543432625506 2.6033622607709477 9048.483833997852 9.5397950776246580e+03 inf inf nan inf nan   
31 372 0.6434843199759479 2.6627990527100356 9048.483833997852 1.1212822934980015e+04 inf inf nan inf nan   
32 384 0.6292620537860615 2.7178884539559918 9048.483833997852 9.8157853277248378e+03 inf inf inf 15101.759502540119 nan   
33 396 0.6089747333399022 2.7291781712106014 9048.483833997852 9.7395220955001641e+03 inf inf nan inf nan   
34 408 0.597866418931791 2.7309741705489814 9048.483833997852 9.8650621232122649e+03 inf inf nan inf nan   
35 420 0.5796154142826724 2.791006626399474 9048.483833997852 9.3914893091412487e+03 inf inf inf 10185.748211180991 nan   
36 432 0.5598336339747843 2.8919147192314303 9048.483833997852 9.3021777608280390e+03 inf inf inf 9603.544755806533 nan   
37 444 0.5632711187268805 2.9245411833649064 9048.483833997852 inf inf inf nan inf nan   
38 456 0.5696889537656115 2.920644656592485 9048.483833997852 9.1590910148535240e+03 9901.63465453396 inf inf 9504.443399442353 nan   
39 468 0.56628423904229 2.9526300861538988 9048.483833997852 9.2658163614373116e+03 inf inf inf 9624.217551404647 nan   
40 480 0.6169835501946648 3.0437977102924907 8774.699399453146 8.7746993994531458e+03 inf inf inf 9522.508216392847 nan   
41 492 0.6561163684279044 3.216967460759224 8774.699399453146 9.0486679557917068e+03 inf inf nan inf nan   
42 504 0.6586355220987576 3.2883134726102385 8774.699399453146 9.4528682895888633e+03 inf inf nan inf nan   
43 516 0.6630054974000754 3.3195995852631945 8774.699399453146 9.0864490216808117e+03 inf inf inf 9317.230234507959 nan   
44 528 0.6938022552033769 3.383954586096952 8206.143114096772 8.2061431140967725e+03 inf inf inf 13674.331282254101 nan   
45 540 0.7046741503238295 3.582226242933659 7656.101341930885 7.6561013419308847e+03 inf inf nan inf nan   
46 552 0.7280787672686557 3.6656583271971375 7656.101341930885 9.9511059860142086e+03 inf inf nan inf nan   
47 564 0.7218147408231952 3.7203702055163976 7656.101341930885 9.3714922834496247e+03 inf inf nan inf nan   
